PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Tom Wilson,25,RW,68,21,23,44,0.65,-3,154,0.14,18:16:00,20.7,154,255,204,1,7.44,12.33,9.86,679,667,50.45,1222,1191,50.64,917,902,50.41,65.31,66.41,49.58,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,166,666",0.0650
Yanni Gourde,27,"C, LW, RW",70,10,20,30,0.43,-5,110,0.09,14:03:00,11.71,110,176,142,0.71,6.7,10.73,8.65,510,484,51.31,926,856,51.96,696,650,51.71,43.2,38.29,53.01,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,166,666",0.0650
Zach Bogosian,28,RD,27,1,6,7,0.26,0,29,0.03,16:37:00,1.49,29,55,39,0.2,3.89,7.37,5.23,194,252,43.5,340,435,43.87,261,345,43.07,14.8,22.11,40.1,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,142,857",0.0800
Brayden Schenn,27,"C, LW",71,25,33,58,0.82,3,138,0.18,18:27:00,16.64,138,224,173,0.76,6.33,10.27,7.93,745,572,56.57,1311,991,56.95,999,768,56.54,73.98,57.65,56.2,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,125,000",0.0700
Dmitry Orlov,27,LD/RD,69,4,23,27,0.39,5,105,0.04,22:10:00,5.48,105,224,158,0.21,4.12,8.77,6.2,814,732,52.65,1515,1306,53.7,1144,994,53.51,82.66,65.73,55.7,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,100,000",0.0680
Frederik Andersen,29,G,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,13,3,2.85,0.909,2.85,2.65,-0.21,Standard (1-way),UFA,"5,000,000",0.0700
Reilly Smith,28,"RW, LW",71,27,27,54,0.76,17,169,0.16,17:54:00,23.08,169,266,228,1.09,7.97,12.55,10.76,725,631,53.47,1327,1140,53.79,996,863,53.58,75.93,62.17,54.98,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0680
Niklas Hjalmarsson,32,LD/RD,27,1,4,5,0.19,-2,18,0.06,18:45:00,0.53,18,39,26,0.06,2.13,4.62,3.08,232,308,42.96,418,586,41.63,313,434,41.9,16.97,29.23,36.72,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0630
Pekka Rinne,36,G,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14,3,3.17,0.895,3.17,2.56,-0.61,35+ (1-way),UFA,"5,000,000",0.0630
Wayne Simmonds,30,"RW, LW",68,8,17,25,0.37,-21,119,0.07,14:55:00,15.35,119,194,150,0.91,7.05,11.49,8.88,561,483,53.74,1028,901,53.29,771,662,53.8,54.88,45.64,54.6,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0610
Semyon Varlamov,31,G,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,14,2,2.62,0.914,2.62,2.66,0.04,Standard (1-way),UFA,"5,000,000",0.0610
