player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Mats Zuccarello,RW/LW,2014-15,3500000,26,69000000,0.050725,Standard (1-way)
Matt Duchene,C/LW/RW,2014-15,6000000,23,69000000,0.086957,Standard (1-way)
Matt Dumba,RD,2014-15,894167,19,69000000,0.012959,Entry_Level
Matt Irwin,LD/RD,2014-15,1000000,26,69000000,0.014493,Standard (1-way)
Matt Martin,LW/RW,2014-15,1000000,25,69000000,0.014493,Standard (1-way)
Matt Nieto,LW/RW,2014-15,759167,21,69000000,0.011002,Entry_Level
Matt Tennyson,RD,2014-15,625000,24,69000000,0.009058,Standard (2-way)
Mattias Ekholm,LD,2014-15,1037500,24,69000000,0.015036,Standard (1-way)
Max Domi,LW/C,2014-15,894167,19,69000000,0.012959,Entry_Level
Max Mccormick,LW,2014-15,642500,22,69000000,0.009312,Entry_Level
Max Pacioretty,LW,2014-15,4500000,25,69000000,0.065217,Standard (1-way)
Michael Chaput,C,2014-15,706667,22,69000000,0.010242,Entry_Level
Michael Dal Colle,LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Michael Del Zotto,LD,2014-15,1300000,24,69000000,0.018841,Standard (1-way)
Michael Mccarron,RW/C,2014-15,894167,19,69000000,0.012959,Entry_Level
Michael Raffl,LW/RW,2014-15,1100000,25,69000000,0.015942,Standard (1-way)
Michael Sgarbossa,C,2014-15,556667,21,69000000,0.008068,Entry_Level
Michael Stone,RD,2014-15,1150000,24,69000000,0.016667,Standard (1-way)
Micheal Ferland,LW/RW,2014-15,611667,22,69000000,0.008865,Entry_Level
Mika Zibanejad,C,2014-15,894167,21,69000000,0.012959,Entry_Level
Mikael Backlund,C,2014-15,1500000,25,69000000,0.021739,Standard (1-way)
Mikael Granlund,C/RW,2014-15,900000,22,69000000,0.013043,Entry_Level
Mike Hoffman,LW/RW,2014-15,750000,24,69000000,0.01087,Standard (1-way)
Milan Lucic,LW,2014-15,6000000,26,69000000,0.086957,Standard (1-way)
Morgan Rielly,LD,2014-15,894167,20,69000000,0.012959,Entry_Level
Nate Schmidt,LD/RD,2014-15,625000,22,69000000,0.009058,Standard (1-way)
Nate Thompson,C,2014-15,1600000,29,69000000,0.023188,Standard (1-way)
Nathan Beaulieu,LD/RD,2014-15,925000,21,69000000,0.013406,Entry_Level
Nathan Gerbe,LW/RW,2014-15,1750000,26,69000000,0.025362,Standard (1-way)
Nathan Gerbe,LW/RW,2014-15,308333,26,69000000,0.004469,Standard (1-way)
Nathan Mackinnon,C/RW,2014-15,925000,18,69000000,0.013406,Entry_Level
Nathan Walker,LW,2014-15,635000,20,69000000,0.009203,Entry_Level
Nazem Kadri,C,2014-15,2900000,23,69000000,0.042029,Standard (1-way)
Nic Dowd,C,2014-15,750000,24,69000000,0.01087,Entry_Level
Nicholas Paul,C/LW,2014-15,670000,19,69000000,0.00971,Entry_Level
Nick Bjugstad,C/RW,2014-15,900000,21,69000000,0.013043,Entry_Level
Nick Bonino,C,2014-15,1900000,26,69000000,0.027536,Standard (1-way)
Nick Cousins,LW/C,2014-15,842500,20,69000000,0.01221,Entry_Level
Nick Foligno,LW/C/RW,2014-15,3083333,26,69000000,0.044686,Standard (1-way)
Nick Holden,LD,2014-15,600000,27,69000000,0.008696,Standard (1-way)
Nick Jensen,RD,2014-15,765000,23,69000000,0.011087,Entry_Level
Nick Leddy,LD,2014-15,2700000,23,69000000,0.03913,Standard (1-way)
Nick Ritchie,LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Nicklas Backstrom,C,2014-15,6700000,26,69000000,0.097101,Standard (1-way)
Nicolas Aube Kubel,RW,2014-15,734167,18,69000000,0.01064,Entry_Level
Nicolas Deslauriers,RW/LW,2014-15,637500,23,69000000,0.009239,Standard (1-way)
Nicolas Petan,C/LW/RW,2014-15,789167,19,69000000,0.011437,Entry_Level
Nikita Kucherov,RW,2014-15,711667,21,69000000,0.010314,Entry_Level
Nikita Zadorov,LD/RD,2014-15,894167,19,69000000,0.012959,Entry_Level
Nikolaj Ehlers,RW/LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Nino Niederreiter,LW/RW,2014-15,2666667,21,69000000,0.038647,Standard (1-way)
Oliver Bjorkstrand,RW/LW,2014-15,678333,19,69000000,0.009831,Entry_Level
Oliver Ekman Larsson,LD,2014-15,5500000,22,69000000,0.07971,Standard (1-way)
Olli Maatta,LD,2014-15,894167,19,69000000,0.012959,Entry_Level
Ondrej Palat,LW/RW,2014-15,3333333,23,69000000,0.048309,Standard (1-way)
Oscar Klefbom,LD,2014-15,894167,20,69000000,0.012959,Entry_Level
Oskar Sundqvist,C/RW,2014-15,700833,20,69000000,0.010157,Entry_Level
Patric Hornqvist,RW,2014-15,4250000,27,69000000,0.061594,Standard (1-way)
Patrice Bergeron,C,2014-15,6875000,28,69000000,0.099638,Standard (1-way)
Patrick Brown,C/RW,2014-15,652500,22,69000000,0.009457,Entry_Level
Patrick Kane,RW,2014-15,6300000,25,69000000,0.091304,Standard (1-way)
Patrick Maroon,LW/RW,2014-15,575000,26,69000000,0.008333,Standard (1-way)
Patrik Nemeth,LD,2014-15,763333,22,69000000,0.011063,Entry_Level
Paul Byron,LW/RW/C,2014-15,600000,25,69000000,0.008696,Standard (1-way)
Paul Stastny,LW/C,2014-15,7000000,28,69000000,0.101449,Standard (1-way)
Petteri Lindbohm,LD,2014-15,636667,20,69000000,0.009227,Entry_Level
Phil Kessel,RW,2014-15,8000000,26,69000000,0.115942,Standard (1-way)
Phillip Danault,C,2014-15,863333,21,69000000,0.012512,Entry_Level
Phillip Di Giuseppe,LW,2014-15,817500,20,69000000,0.011848,Entry_Level
Pierre Edouard Bellemare,C/LW,2014-15,600000,29,69000000,0.008696,Entry_Level
Pk Subban,RD,2014-15,9000000,25,69000000,0.130435,Standard (1-way)
Pontus Aberg,RW/LW,2014-15,780833,20,69000000,0.011316,Entry_Level
Radek Faksa,C,2014-15,863333,20,69000000,0.012512,Entry_Level
Radko Gudas,RD,2014-15,991667,24,69000000,0.014372,Standard (1-way)
Rasmus Ristolainen,RD,2014-15,925000,19,69000000,0.013406,Entry_Level
Reilly Smith,RW/LW,2014-15,1400000,23,69000000,0.02029,Standard (1-way)
Remi Elie,LW,2014-15,759167,19,69000000,0.011002,Entry_Level
Richard Panik,LW/RW,2014-15,735000,23,69000000,0.010652,Standard (2-way)
Rickard Rakell,RW/LW,2014-15,894167,21,69000000,0.012959,Entry_Level
Riley Nash,C/RW,2014-15,575000,25,69000000,0.008333,Standard (1-way)
Riley Sheahan,LW/C,2014-15,950000,22,69000000,0.013768,Standard (1-way)
Robby Fabbri,LW/C,2014-15,925000,18,69000000,0.013406,Entry_Level
Robert Bortuzzo,RD,2014-15,600000,25,69000000,0.008696,Standard (1-way)
Robert Hagg,LD,2014-15,925000,19,69000000,0.013406,Entry_Level
Rocco Grimaldi,LW/RW,2014-15,925000,21,69000000,0.013406,Entry_Level
Roman Josi,LD,2014-15,4000000,24,69000000,0.057971,Standard (1-way)
Ryan Carpenter,RW/C,2014-15,925000,23,69000000,0.013406,Entry_Level
Ryan Dzingel,LW/RW/C,2014-15,715000,22,69000000,0.010362,Entry_Level
Ryan Ellis,RD,2014-15,2500000,23,69000000,0.036232,Standard (1-way)
