player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Evgeny Kuznetsov,F,WSH,2016-17,24,18,Standard (1-way),3000000,L,3,14,0,0,81,0.06999999999999995,0,0.55,0,160,37,-9,2,37,22,-14,-4,0,113,18,82388,69260,152,9350,167,131,0,23,19,15,0,3,57,56,0,0,43,39,0,0,58,44,0,9,13,7,0,3,5,2,0,2,456,391,2,41,571,514,6,1,18,18,0,0,40,25,0,11,-2,2,-2,-6,73000000,0.041096,pre-covid
Andrew Cogliano,F,ANA,2016-17,29,11,Standard (1-way),3000000,L,0,0,3,1,82,0.010000000000000009,0.06000000000000005,0.1,0,33,2,18,4,119,6,17,3,-5,6,0,74479,64147,8640,320,179,157,19,1,16,11,3,0,76,74,2,0,19,12,5,0,26,24,2,0,21,12,5,0,7,2,3,0,8,5,3,0,10,7,0,1,27,22,0,3,19,18,1,0,4,6,-2,0,73000000,0.041096,pre-covid
Tomas Hertl,F,S.J,2016-17,22,-8,Standard (1-way),3000000,L,1,2,0,0,49,0.040000000000000036,0.040000000000000036,-0.01999999999999999,-0.020000000000000018,73,-8,2,2,53,-9,7,-2,-4,64,2,50638,39731,3520,5205,100,76,2,15,10,7,0,1,76,71,5,0,30,27,2,0,18,14,1,3,17,11,0,2,5,3,0,0,245,181,27,29,229,173,13,28,42,30,0,8,12,8,0,1,-4,-4,-2,0,73000000,0.041096,pre-covid
Mikael Granlund,F,MIN,2016-17,24,23,Standard (1-way),3000000,L,7,14,3,1,81,0.020000000000000018,0,-0.08000000000000002,0.050000000000000044,7,29,23,11,-27,17,8,6,-15,136,23,91487,70812,6943,10326,177,135,6,22,26,11,3,7,50,47,1,1,43,36,7,0,33,21,1,9,28,10,1,10,17,5,1,7,16,13,0,3,17,12,4,1,50,36,0,10,43,26,1,13,28,28,0,-2,73000000,0.041096,pre-covid
Mathieu Perreault,F,WPG,2016-17,28,-11,Standard (1-way),3000000,L,3,12,0,0,65,0.12999999999999995,0.040000000000000036,0.23,0.030000000000000027,180,17,23,7,29,-10,-1,-7,0,122,18,63525,50779,53,9410,134,92,0,31,13,9,0,2,97,93,0,2,33,28,0,4,20,17,0,3,18,12,0,4,2,2,0,0,97,63,0,19,92,74,1,0,26,22,0,0,32,17,0,9,10,14,0,-4,73000000,0.041096,pre-covid
Leo Komarov,F,TOR,2016-17,29,6,Standard (1-way),2950000,L,4,6,1,1,82,-0.020000000000000018,-0.020000000000000018,0.03,0.010000000000000009,-50,13,-6,14,-56,2,-8,1,-12,125,23,84002,61505,10026,9804,114,84,9,18,14,9,1,4,232,205,18,3,46,35,8,0,25,15,4,6,15,6,3,6,7,3,1,3,91,22,60,3,111,30,3,57,50,32,0,11,18,10,1,6,4,12,-13,5,73000000,0.040411,pre-covid
Deryk Engelland,D,CGY,2016-17,34,2,Standard (1-way),2916667,R,0,0,0,0,81,-0.15000000000000002,-0.050000000000000044,-0.06,-0.39,-283,-28,-40,-9,-80,-5,-21,2,-24,-1,0,89083,72072,14116,119,107,101,5,0,4,4,0,0,135,129,6,0,19,14,5,0,49,40,9,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,134,95,0,8,12,12,0,0,-4,-2,-4,0,73000000,0.039954,pre-covid
Boone Jenner,F,CBJ,2016-17,23,14,Standard (1-way),2900000,L,1,1,2,0,82,-0.020000000000000018,-0.020000000000000018,0.01999999999999999,-0.050000000000000044,-19,8,-10,0,10,13,-2,3,-5,38,3,79022,67407,3898,5470,211,188,6,11,18,14,1,0,216,207,3,3,42,32,4,0,20,17,0,2,19,14,1,0,8,5,0,0,92,66,13,7,92,63,5,13,80,67,0,2,16,15,0,1,2,2,-2,-2,73000000,0.039726,pre-covid
Carl Gunnarsson,D,STL,2016-17,29,-5,Standard (1-way),2900000,L,0,0,0,0,56,-0.030000000000000027,-0.020000000000000018,0.030000000000000013,-0.67,-14,-7,-1,-4,3,-6,-3,-4,-1,0,0,45681,42506,2494,20,32,31,0,0,0,0,0,0,42,41,0,0,2,2,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,61,0,1,6,6,0,0,10,10,0,0,73000000,0.039726,pre-covid
Kevin Klein,D,NYR,2016-17,31,5,Standard (1-way),2900000,R,0,1,0,1,59,-0.020000000000000018,0.020000000000000018,0.03,-0.18000000000000005,-49,-3,-2,-3,-10,-3,6,-1,-6,1,1,62508,56441,4096,167,53,50,0,0,3,2,0,0,133,125,5,0,10,10,0,0,35,32,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,99,0,6,11,7,1,1,-10,-10,0,0,73000000,0.039726,pre-covid
