player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes
Charlie McAvoy,D,BOS,2019-20,21,24,Standard (1-way),4900000,R,1,1,0,2,67,-0.010000000000000009,0,0.03,0,40,22,-7,5,54,18,7,4,-4,48,7,93133,77097,6813,5206,100,77,1,13,5,2,0,1,131,113,8,0,37,31,2,1,68,53,5,5,4,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,131,108,1,13,27,24,1,1,6,4,0,2
Alexander Wennberg,F,CBJ,2019-20,24,-5,Standard (1-way),4900000,L,1,4,0,0,57,0.030000000000000027,0.020000000000000018,-0.020000000000000018,0.050000000000000044,60,-7,-3,-3,47,1,-2,-2,-12,72,7,57109,43573,4848,6681,72,54,1,12,5,4,0,1,21,18,0,3,20,15,3,2,25,21,1,3,3,1,1,1,1,0,0,1,310,243,25,27,362,264,33,35,30,28,0,2,16,11,0,4,12,10,0,2
Sami Vatanen,D,N.J,2019-20,28,-12,Standard (1-way),4875000,R,1,11,0,1,47,0.040000000000000036,0,-0.04000000000000001,0.050000000000000044,61,-3,-9,-6,-20,-8,-11,-6,-8,129,13,61293,44415,5297,8211,95,56,5,30,5,3,0,2,50,45,3,1,14,11,1,2,24,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,64,0,9,18,6,1,6,-6,-2,0,-4
Elias Lindholm,F,CGY,2019-20,24,-8,Standard (1-way),4850000,R,9,13,0,1,70,0.030000000000000027,0.010000000000000009,0,-0.010000000000000009,23,0,-7,-4,-25,-6,-7,-6,-15,147,23,82651,58395,8449,11212,170,103,9,45,29,17,0,8,92,78,10,1,38,27,7,3,32,25,3,4,19,9,0,6,8,3,0,3,395,259,48,40,404,269,34,63,41,27,0,12,24,12,0,10,2,0,0,4
Justin Faulk,D,STL,2019-20,27,-3,Standard (1-way),4833333,R,1,2,0,1,69,0,-0.010000000000000009,0.09000000000000001,0.020000000000000018,18,-8,8,-3,13,-10,8,-4,-7,44,4,83997,72150,4298,4323,143,127,0,15,5,4,0,1,81,74,3,0,24,21,1,1,37,27,7,2,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,59,1,6,10,5,0,2,-26,-26,0,0
Colin White,F,OTT,2019-20,22,-12,Standard (1-way),4750000,R,1,3,0,0,61,0.07,0.020000000000000018,-0.17,-0.050000000000000044,32,-6,10,-3,-41,-6,12,2,-1,71,5,57248,47492,76,7708,82,64,0,13,7,5,0,1,47,45,0,1,23,23,0,0,29,26,0,3,11,10,0,1,3,2,0,1,275,230,3,31,305,254,4,2,30,27,0,0,16,13,0,3,-12,-4,0,-2
Vincent Trocheck,F,CAR,2019-20,25,-8,Standard (1-way),4750000,R,1,6,1,0,61,0.07000000000000006,0.030000000000000027,0.07999999999999999,-0.030000000000000027,114,6,8,8,37,-5,-12,2,-1,77,12,61252,50014,1899,6469,140,105,4,20,11,7,1,0,101,96,1,3,52,46,4,0,64,54,0,5,10,4,1,2,3,2,0,0,427,343,18,44,389,324,17,15,37,32,0,2,27,19,0,6,-2,2,0,-6
Alex Tuch,F,VGK,2019-20,23,-10,Standard (1-way),4750000,R,4,5,0,0,42,0.05999999999999994,-0.030000000000000027,0.23,0.010000000000000009,87,0,-6,-3,15,-9,-2,-3,-1,55,8,36802,30748,242,4282,99,83,0,11,8,5,0,3,58,54,0,4,27,23,0,1,27,25,0,2,4,2,0,2,2,1,0,1,8,3,0,4,21,11,0,0,20,20,0,0,9,5,0,4,18,20,0,-2
TJ Brodie,D,CGY,2019-20,29,7,Standard (1-way),4650400,L,0,1,0,1,64,0.010000000000000009,0.030000000000000027,0.04000000000000001,0.020000000000000018,-55,-6,-1,-14,-4,5,1,-10,-11,22,2,78486,66707,6074,2376,65,53,3,3,4,3,0,0,20,15,3,0,34,24,6,1,52,43,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,67,0,7,15,13,0,1,-18,-16,0,0
Kyle Palmieri,F,N.J,2019-20,28,-4,Standard (1-way),4650000,R,11,7,0,0,65,0.12000000000000005,0.019999999999999962,-0.07999999999999999,0.10999999999999999,138,22,24,12,-42,3,1,-1,-2,174,23,66696,50467,840,11644,154,101,1,39,25,14,0,9,74,60,3,9,29,24,0,1,28,25,0,2,14,5,0,6,5,1,0,3,11,9,1,1,26,24,0,0,36,34,0,0,19,11,0,7,-4,0,-4,0
Chris Kreider,F,NYR,2019-20,28,13,Standard (1-way),4625000,L,9,4,0,0,63,0.15999999999999998,0.03999999999999998,-0.22,0.13,166,46,-11,11,-10,18,-25,0,-1,171,29,64964,49885,160,11852,156,110,0,38,24,12,0,8,116,109,0,6,22,19,0,1,61,46,0,12,18,3,0,10,9,1,0,5,51,43,0,5,67,62,0,0,43,40,0,0,20,17,0,3,1,1,2,3
Karl Alzner,D,MTL,2019-20,30,-1,Standard (1-way),4625000,L,0,0,0,0,4,0.07999999999999996,0.04999999999999993,0.5,0,10,-1,5,1,9,-1,5,1,0,0,0,3374,3141,153,0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Tyler Toffoli,F,VAN,2019-20,27,-1,Standard (1-way),4600000,R,6,6,0,0,68,0.07999999999999996,0.040000000000000036,0.04999999999999999,0.020000000000000018,228,10,13,3,117,8,12,3,-9,119,18,68581,53883,3620,8670,203,164,7,16,24,16,0,5,48,43,2,2,35,26,5,2,34,30,2,2,25,17,0,3,9,6,0,1,4,4,0,0,11,9,0,0,15,13,0,1,19,12,0,5,0,-4,6,-2
Jakob Chychrun,D,ARI,2019-20,21,4,Standard (1-way),4600000,L,6,3,0,0,63,0.040000000000000036,0.020000000000000018,0.06,0.030000000000000027,89,13,18,6,45,7,10,2,-9,67,14,84906,68109,5555,8021,150,104,3,27,12,7,0,5,74,66,5,1,27,22,0,4,52,42,5,4,5,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,95,83,0,7,14,10,0,3,-8,-10,0,2
Ryan Murray,D,CBJ,2019-20,25,-9,Standard (1-way),4600000,L,0,2,0,0,27,-0.050000000000000044,-0.020000000000000018,0.09,-0.040000000000000036,-23,-16,-9,-6,3,-3,2,1,-6,15,0,32345,26123,3027,1410,32,27,4,1,2,2,0,0,12,10,1,0,6,4,2,0,15,12,1,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,43,1,2,7,5,0,2,2,2,0,0
Artem Anisimov,F,OTT,2019-20,31,-15,Standard (1-way),4550000,L,5,1,0,0,49,0.040000000000000036,-0.010000000000000009,0.04999999999999999,0.030000000000000027,-25,-11,4,-2,-67,-14,-7,-5,-2,45,4,40743,34617,695,4524,87,66,0,18,15,9,0,5,6,6,0,0,19,18,0,1,16,11,1,4,13,7,0,4,4,1,0,2,185,170,1,12,185,168,5,2,25,25,0,0,5,4,0,1,2,2,0,0
Jason Demers,D,ARI,2019-20,31,5,Standard (1-way),4500000,R,0,0,0,1,50,-0.06,0,0,-0.17000000000000004,-133,-7,-3,-3,-42,-1,2,-4,-9,4,0,61395,52023,6616,476,52,49,1,0,0,0,0,0,76,67,6,1,15,10,4,0,33,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,58,0,5,11,8,1,0,-6,-8,0,2
Nazem Kadri,F,COL,2019-20,28,7,Standard (1-way),4500000,L,10,9,0,0,51,0.10999999999999999,-0.020000000000000018,0.15,0.07999999999999996,123,40,9,12,-22,19,-10,-1,0,130,25,53178,38655,329,10877,133,95,0,32,19,15,0,4,60,54,0,4,21,20,0,0,28,25,0,3,8,3,0,4,3,1,0,2,407,279,6,100,311,226,18,5,9,7,0,0,17,10,0,7,-14,-8,2,-8
Nikita Gusev,F,N.J,2019-20,26,-15,Standard (1-way),4500000,R,5,10,0,0,66,0.10000000000000003,0.04999999999999999,0.12,-0.06000000000000005,115,8,-3,5,-6,-3,-13,-1,0,111,12,58277,46588,82,8934,157,111,0,31,13,8,0,3,12,11,0,0,22,20,0,1,39,34,0,5,16,5,0,6,7,3,0,2,1,1,0,0,2,0,0,0,7,6,0,0,31,22,0,9,10,16,0,-6
Nikita Zaitsev,D,OTT,2019-20,27,-8,Standard (1-way),4500000,R,0,0,0,0,58,-0.12000000000000005,-0.06,-0.01999999999999999,-0.24,-281,-32,-12,-7,-141,-20,-1,-3,-15,3,1,76783,63738,10016,404,64,55,5,1,1,0,0,0,108,101,5,1,20,15,2,0,44,37,6,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,121,88,1,11,11,9,0,0,-18,-16,-2,2
Marcus Johansson,F,BUF,2019-20,28,-12,Standard (1-way),4500000,L,1,5,0,0,60,0.06000000000000005,-0.020000000000000018,0,0,46,4,-7,-2,-39,-2,-1,1,-4,83,12,61776,49572,1041,8248,87,66,0,13,9,6,0,1,39,35,0,3,15,15,0,0,24,17,0,6,8,6,0,2,0,0,0,0,195,179,1,8,294,257,6,3,22,21,0,0,20,15,0,3,4,2,2,0
Shayne Gostisbehere,D,PHI,2019-20,26,-4,Standard (1-way),4500000,L,1,4,0,0,42,0.07999999999999996,0.010000000000000009,-0.28,0.029999999999999916,108,7,-16,-1,8,-2,-17,-3,0,77,9,46100,38171,209,6142,73,46,0,20,5,2,0,1,14,11,0,3,9,7,0,0,27,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,0,0,7,3,0,4,8,14,0,-4
Cody Ceci,D,TOR,2019-20,25,7,Standard (1-way),4500000,R,0,0,1,0,56,-0.12000000000000005,-0.040000000000000036,-0.09000000000000001,-0.36,-179,-15,-8,-3,-27,-1,2,2,-17,-1,0,68937,57443,9229,200,48,44,2,1,1,1,0,0,92,82,8,0,13,10,3,0,30,23,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,58,1,3,6,6,0,0,-8,-4,-4,0
Christopher Tanev,D,VAN,2019-20,29,4,Standard (1-way),4450000,R,0,2,0,2,69,-0.14,-0.02999999999999997,-0.09999999999999999,-0.32000000000000006,-281,-22,-17,-5,-75,-7,-4,-2,-23,0,1,79953,63342,12937,260,45,42,1,0,2,1,0,0,32,25,6,0,20,17,1,0,44,29,13,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,158,101,0,10,19,14,1,0,-8,-14,0,4
Christian Dvorak,F,ARI,2019-20,23,6,Standard (1-way),4450000,L,6,5,0,0,70,0.10000000000000003,0.030000000000000027,0.009999999999999981,-0.020000000000000018,131,25,29,9,19,10,12,0,-1,118,16,69963,55081,1185,10967,134,97,0,31,18,10,0,6,38,36,1,1,20,17,1,0,22,20,0,2,25,12,0,8,7,1,0,5,523,374,13,99,424,323,38,6,36,31,0,1,20,16,0,4,-2,-2,0,0
Alex Killorn,F,T.B,2019-20,29,19,Standard (1-way),4450000,L,10,7,0,0,68,0.030000000000000027,0,-0.03,0.05999999999999994,7,28,4,7,-15,24,7,6,-19,118,21,72627,50697,8386,10023,129,88,6,25,26,16,0,7,59,44,7,5,27,20,5,2,26,15,3,7,24,9,1,7,12,5,0,5,5,3,2,0,14,7,0,1,15,9,0,4,22,13,0,5,2,-4,2,4
Brandon Sutter,F,VAN,2019-20,30,1,Standard (1-way),4375000,R,1,2,0,0,44,-0.12000000000000005,-0.06,0.020000000000000004,-0.010000000000000009,-102,-8,-11,-7,-41,0,-7,-2,-13,16,4,39192,30087,5832,2177,75,61,6,3,7,5,0,1,18,16,2,0,15,9,5,0,9,8,1,0,9,6,0,1,4,2,0,1,185,131,34,12,193,129,14,25,15,13,0,1,10,8,0,2,10,8,7,-3
Brendan Smith,D,NYR,2019-20,30,-12,Standard (1-way),4350000,L,0,0,1,1,62,-0.12,-0.03999999999999998,0.009999999999999995,-0.20000000000000007,-150,-28,-27,-10,-54,-14,-18,-3,-11,-1,0,41232,33284,7160,162,45,40,4,0,3,2,0,0,90,83,5,1,18,13,4,0,24,22,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,41,31,0,2,5,4,1,0,-2,0,-4,2
Dmitry Kulikov,D,WPG,2019-20,28,-4,Standard (1-way),4333333,L,0,0,0,0,51,-0.040000000000000036,0.020000000000000018,-0.009999999999999995,-0.06999999999999995,-73,-12,-22,-9,-10,-5,-17,-8,-11,3,1,61269,55248,4037,353,54,50,1,1,2,2,0,0,104,95,4,1,16,13,3,0,55,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,0,2,8,7,0,0,-22,-20,0,-2
Sean Couturier,F,PHI,2019-20,26,21,Standard (1-way),4333333,L,4,11,0,0,69,0.08999999999999997,0.07000000000000006,-0.009999999999999981,0.07999999999999996,186,28,19,6,102,21,14,5,-17,135,24,81615,59789,7729,10659,183,117,20,31,22,15,0,4,59,57,0,1,39,28,9,0,36,27,2,3,25,18,1,4,10,6,0,3,541,387,50,68,366,261,39,39,26,20,0,5,37,25,0,8,4,0,0,2
John Klingberg,D,DAL,2019-20,26,-10,Standard (1-way),4250000,R,2,22,0,0,58,0.09000000000000002,0.020000000000000018,0.18,-0.030000000000000027,86,9,14,3,-35,-7,6,-4,-2,106,20,77093,63249,989,8410,121,92,0,16,7,3,0,3,28,25,1,0,24,22,0,0,71,59,0,6,3,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,72,65,0,2,25,11,0,12,-4,-2,0,-4
Justin Abdelkader,F,DET,2019-20,32,-14,Standard (1-way),4250000,L,0,0,0,0,49,-0.030000000000000027,-0.030000000000000027,0.15000000000000002,0.13,-73,-23,-16,-6,-53,-13,-1,1,-9,11,0,33826,28596,3327,1284,40,35,1,4,0,0,0,0,103,98,2,2,10,8,2,0,18,15,3,0,2,1,0,0,0,0,0,0,38,31,4,1,31,28,1,0,26,21,0,1,3,3,0,0,-4,-2,0,0
Craig Smith,F,NSH,2019-20,29,18,Standard (1-way),4250000,R,4,3,0,0,69,0.12,0.050000000000000044,-0.16,-0.020000000000000018,237,30,29,22,108,22,18,14,0,115,12,55537,45236,72,8918,184,147,0,30,18,14,0,4,59,57,0,2,26,22,0,0,26,21,0,5,19,13,0,5,9,5,0,4,14,13,0,1,15,14,0,0,19,19,0,0,13,11,0,2,0,2,0,-6
David Savard,D,CBJ,2019-20,28,-3,Standard (1-way),4250000,R,0,2,0,0,68,-0.08000000000000002,-0.030000000000000027,-0.04999999999999999,0.18999999999999995,-71,-15,4,-3,20,0,11,0,-12,11,1,84206,73030,7062,874,97,92,2,1,0,0,0,0,129,117,9,0,18,16,1,1,43,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,136,0,4,11,8,0,1,-4,-8,0,2
Ian Cole,D,COL,2019-20,30,21,Standard (1-way),4250000,L,0,0,0,0,65,-0.07,0,0.03,-0.30000000000000004,-35,5,-17,2,86,19,-1,6,-14,-1,0,68731,57082,8662,87,95,88,4,0,4,4,0,0,83,74,6,0,18,15,2,0,37,28,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,86,0,3,21,18,0,0,-24,-26,0,0
Viktor Arvidsson,F,NSH,2019-20,26,-4,Standard (1-way),4250000,R,5,4,0,0,57,0.07000000000000006,0,0.009999999999999981,0.030000000000000027,81,11,-6,4,-12,5,-2,3,-5,120,14,55451,43049,2036,7851,126,95,3,26,14,10,0,4,27,24,3,0,15,13,0,1,24,17,1,5,14,11,0,3,7,5,0,2,11,11,0,0,8,8,0,0,24,16,0,4,14,10,0,4,8,2,2,0
Jonathan Ericsson,D,DET,2019-20,35,-12,Standard (1-way),4250000,L,0,0,0,0,18,-0.04999999999999999,-0.020000000000000018,0.06,-0.64,-39,-15,-7,-7,-29,-12,-6,-5,-1,0,0,15386,13562,1506,12,16,16,0,0,0,0,0,0,24,21,2,0,1,0,1,0,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,1,0,0,0,0,0,0,0,0
Oscar Klefbom,D,EDM,2019-20,25,-17,Standard (1-way),4167000,L,2,17,0,0,62,0.020000000000000018,-0.020000000000000018,-0.03,0.010000000000000009,-39,14,24,14,-67,-7,-5,-1,-14,161,35,93892,68750,8460,12676,159,117,3,30,5,3,0,2,45,37,4,1,36,25,3,6,57,47,1,6,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,179,134,7,27,28,11,0,14,-8,-8,0,0
Jonas Brodin,D,MIN,2019-20,25,15,Standard (1-way),4166667,L,0,2,0,2,69,-0.04999999999999999,-0.010000000000000009,0.07,0.040000000000000036,-62,-5,-12,-13,23,10,-3,-2,-16,19,1,89038,76101,8079,1549,103,94,3,3,2,2,0,0,41,36,2,0,14,10,1,1,17,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,90,1,4,26,20,1,1,-8,-10,-2,4
Adam Larsson,D,EDM,2019-20,26,0,Standard (1-way),4166666,R,0,0,0,0,49,-0.04999999999999999,-0.010000000000000009,0.03,0.18000000000000005,-99,-1,-6,-3,-30,-6,-5,-6,-2,1,1,57908,51380,4374,83,58,55,1,0,1,1,0,0,112,103,7,0,16,16,0,0,35,31,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,67,0,2,5,5,0,0,-19,-19,0,2
Damon Severson,D,N.J,2019-20,24,-20,Standard (1-way),4166666,R,3,7,0,0,69,0.010000000000000009,0.02999999999999997,-0.009999999999999981,0.020000000000000018,-44,-21,3,1,-46,-16,-4,-3,-12,96,11,94973,73032,9516,7759,114,65,8,26,7,3,0,3,81,67,10,1,35,23,7,0,73,67,2,3,9,3,0,3,3,0,0,2,0,0,0,0,0,0,0,0,98,84,2,5,24,17,0,7,-18,-12,-5,1
Mathieu Perreault,F,WPG,2019-20,31,-9,Standard (1-way),4125000,L,2,0,0,0,49,0.050000000000000044,0.020000000000000018,0,-0.07999999999999996,30,-2,-4,1,-14,-9,-16,-5,0,41,7,38530,34185,0,4133,71,63,0,8,7,5,0,2,69,68,0,0,17,16,0,1,11,10,0,1,7,3,0,4,2,0,0,2,13,11,0,1,6,6,0,0,19,19,0,0,9,8,0,0,0,2,0,-2
Nick Bjugstad,F,PIT,2019-20,26,3,Standard (1-way),4100000,R,0,0,0,0,13,-0.040000000000000036,-0.06999999999999995,-0.07999999999999999,0.06999999999999995,13,3,1,2,7,3,2,2,0,11,0,9542,8090,304,962,18,14,0,2,1,1,0,0,19,18,0,0,3,3,0,0,5,5,0,0,2,2,0,0,0,0,0,0,38,30,3,3,58,51,1,3,7,7,0,0,2,2,0,0,0,2,0,-2
Josh Manson,D,ANA,2019-20,27,-10,Standard (1-way),4100000,R,0,0,0,1,48,-0.04999999999999999,0.020000000000000018,0.010000000000000009,-0.15000000000000002,-84,-21,-3,-8,-3,-9,-1,-4,-8,-1,0,58217,48712,6331,340,59,54,3,0,1,1,0,0,108,91,14,0,20,18,2,0,38,33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,41,0,5,8,6,1,0,-12,-16,2,2
Brian Dumoulin,D,PIT,2019-20,27,17,Standard (1-way),4100000,L,0,1,1,0,28,0,0.04999999999999993,0.01999999999999999,-0.08999999999999997,57,12,1,3,80,9,-5,0,-3,5,1,35373,29506,3379,1027,35,27,4,2,1,0,1,0,44,39,3,0,13,10,1,0,13,12,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0,9,7,5,0,1,-6,-6,0,2
Nick Bonino,F,NSH,2019-20,31,17,Standard (1-way),4100000,L,1,0,0,0,67,-0.07,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,-27,-4,11,1,52,20,13,13,-20,57,4,66412,48214,10117,5528,104,81,7,12,18,16,0,1,17,16,1,0,46,29,11,3,22,16,5,1,18,13,1,2,8,6,0,1,487,363,64,36,439,320,24,49,89,64,0,13,17,17,0,0,-10,-10,0,2
Jake Gardiner,D,CAR,2019-20,28,-24,Standard (1-way),4050000,L,1,10,0,0,68,0.06999999999999995,0.010000000000000009,0.17,-0.020000000000000018,123,-6,12,3,37,-14,5,0,0,64,13,67950,57500,125,7027,87,67,0,14,4,2,0,1,43,39,0,3,32,25,0,5,39,32,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,42,41,0,0,19,9,0,9,-22,-20,0,-2
Brett Pesce,D,CAR,2019-20,24,7,Standard (1-way),4025000,R,0,0,0,2,61,-0.10999999999999999,-0.020000000000000018,-0.06,-0.20000000000000007,-116,-12,-19,-7,13,4,-2,1,-13,4,-1,79986,63804,11024,1038,104,92,4,2,4,4,0,0,22,20,2,0,42,32,7,0,39,28,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,68,0,9,14,12,2,0,-10,-10,0,0
David Perron,F,STL,2019-20,31,2,Standard (1-way),4000000,R,11,20,0,0,71,0.13999999999999996,0.030000000000000027,-0.2,0.020000000000000018,219,31,9,11,57,10,-2,-1,0,142,25,76960,61329,30,11681,165,97,0,46,25,11,0,7,67,63,0,2,39,32,0,3,35,25,0,10,13,5,0,5,9,3,0,3,3,3,0,0,4,4,0,0,19,17,0,0,34,17,0,15,-20,-14,0,-2
Marco Scandella,D,STL,2019-20,29,14,Standard (1-way),4000000,L,0,0,0,0,61,-0.06000000000000005,0.010000000000000009,0,-0.47000000000000003,-77,-6,6,-7,43,17,20,7,-17,-1,-1,63861,55231,6947,193,75,70,4,0,5,5,0,0,77,66,9,0,18,15,3,0,48,43,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,47,0,3,8,8,0,0,-6,-6,-2,0
Jake Muzzin,D,TOR,2019-20,30,12,Standard (1-way),4000000,L,0,0,0,1,53,-0.050000000000000044,0.020000000000000018,-0.09000000000000001,0.05999999999999994,-3,-2,1,-1,89,3,2,2,-12,7,1,68631,58320,7831,722,99,92,4,2,6,6,0,0,109,102,5,0,25,17,6,0,63,52,8,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,110,69,0,19,17,14,1,0,-16,-12,-2,0
Kris Russell,D,EDM,2019-20,32,0,Standard (1-way),4000000,L,0,0,0,1,55,-0.12,-0.03999999999999998,0.020000000000000004,-0.84,-162,-15,-23,-11,-57,-2,-9,-3,-13,-2,0,55002,46612,7223,94,44,42,2,0,0,0,0,0,71,60,10,0,31,27,3,0,37,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,78,0,0,9,8,1,0,-4,0,-2,0
Alec Martinez,D,VGK,2019-20,31,-4,Standard (1-way),4000000,L,2,5,0,0,51,-0.06000000000000005,-0.050000000000000044,0.06000000000000001,-0.030000000000000027,32,-13,-4,-9,27,-7,7,-2,-10,57,8,65695,54684,5045,4229,76,52,6,14,3,3,0,0,43,38,5,0,14,13,1,0,32,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,94,0,15,14,10,0,4,-4,-2,2,-4
Vladislav Namestnikov,F,COL,2019-20,26,-5,Standard (1-way),4000000,L,2,2,4,2,65,-0.03999999999999998,-0.03999999999999998,0.009999999999999981,0.050000000000000044,-85,-5,15,10,-88,-13,3,3,-5,66,9,58749,44932,6719,5577,98,69,10,9,17,8,4,2,108,102,4,2,25,21,2,1,28,27,0,1,25,16,1,1,8,3,1,1,22,15,5,2,25,19,1,2,47,40,2,4,13,7,1,2,-18,-18,-9,7
Erik Gudbranson,D,ANA,2019-20,27,0,Standard (1-way),4000000,R,0,0,0,1,51,-0.04999999999999999,0.010000000000000009,0,0.050000000000000044,-91,-16,-14,-5,-27,-6,-5,0,-12,5,0,59296,50669,5911,437,77,69,4,2,3,3,0,0,89,82,7,0,0,0,0,0,33,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43,0,7,6,5,1,0,-20,-18,-4,0
Roman Josi,D,NSH,2019-20,29,22,Standard (1-way),4000000,L,4,21,0,0,69,0.07000000000000006,0.040000000000000036,0.039999999999999994,0.06000000000000005,232,26,16,15,118,26,10,10,-16,184,20,106324,79949,8039,12255,260,168,6,59,16,10,0,3,52,41,7,1,34,29,2,1,68,48,4,8,5,2,0,2,3,1,0,2,0,0,0,0,0,0,0,0,108,82,5,12,50,29,0,17,-4,0,0,0
Mikkel Boedker,F,OTT,2019-20,29,-1,Standard (1-way),4000000,L,0,0,1,0,20,-0.03999999999999998,-0.03999999999999998,0.01999999999999999,0.050000000000000044,-19,-3,-3,-1,-19,-3,-1,-1,0,13,0,11739,9974,651,866,29,23,2,4,2,1,1,0,12,10,1,1,1,1,0,0,8,7,0,1,1,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,5,5,0,0,2,2,0,0,6,6,0,0
Victor Rask,F,MIN,2019-20,26,7,Standard (1-way),4000000,L,0,0,0,0,43,0.06000000000000005,0.040000000000000036,-0.13,0.06999999999999995,48,7,4,-1,37,7,3,-1,-1,13,1,27040,25913,129,615,38,37,0,0,5,5,0,0,26,26,0,0,13,13,0,0,5,5,0,0,5,5,0,0,2,2,0,0,119,114,0,4,152,141,0,0,8,7,0,0,8,8,0,0,6,6,0,0
Joonas Donskoi,F,COL,2019-20,27,2,Standard (1-way),3900000,R,4,2,0,0,65,0,-0.050000000000000044,0.010000000000000009,-0.06000000000000005,1,15,-26,-5,-47,14,-18,-2,-2,63,10,62924,49769,1834,7913,110,85,2,17,16,10,0,4,25,24,1,0,28,23,3,1,20,18,0,1,13,8,0,1,4,1,0,1,9,6,3,0,13,10,1,1,38,35,0,1,17,16,0,1,8,10,0,0
Andrew Shaw,F,CHI,2019-20,27,-4,Standard (1-way),3900000,R,1,1,0,0,26,0.11000000000000004,0.04999999999999999,0.06000000000000001,-0.010000000000000009,26,3,11,-3,-20,-5,10,-3,0,38,5,22516,18019,195,3420,46,33,0,8,3,2,0,1,74,70,0,3,12,11,0,1,15,11,0,4,6,4,0,1,1,1,0,0,42,33,1,6,51,40,2,0,9,9,0,0,7,5,0,1,-6,-10,0,0
