player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Patrice Bergeron,F,BOS,2011-12,5000000,25,64300000,0.07776,Standard (1-way),R,5,9,2,1,36,81,0.07999999999999996,0.06999999999999995,0.04999999999999999,-0.020000000000000018,272,39,29,8,214,29,15,2,-9,116,19,90307,66313,7587,11682,191,139,11,25,22,14,2,4,73,68,1,1,55,45,5,0,25,19,3,3,28,11,3,4,11,5,1,3,973,699,107,78,668,436,72,77,67,49,1,8,42,29,1,9,24,28,-2,0,pre-covid
Patrick Kane,F,CHI,2011-12,6300000,22,64300000,0.097978,Standard (1-way),L,4,8,0,0,8,82,0.13,0.030000000000000027,0.020000000000000004,0.040000000000000036,289,31,32,16,95,9,7,0,0,188,18,99372,79190,381,16134,253,194,0,46,23,17,0,4,19,15,0,3,77,66,0,3,32,23,0,7,20,12,0,4,9,4,0,3,240,213,3,18,329,295,8,0,27,25,0,0,43,33,0,7,26,22,2,0,pre-covid
Patrick Maroon,F,ANA,2011-12,550000,23,64300000,0.008554,Standard (2-way),L,0,0,0,0,0,2,-0.04999999999999999,-0.04999999999999999,0,0,-9,0,-1,0,-9,0,-1,0,0,0,0,1505,1505,0,0,1,1,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,-2,0,0,pre-covid
Paul Byron,F,CGY,2011-12,555000,22,64300000,0.008631,Entry_Level,L,0,0,0,0,3,22,-0.010000000000000009,-0.010000000000000009,0,0.030000000000000027,-16,3,0,2,-18,5,0,2,0,2,-1,13504,13223,56,206,13,13,0,0,3,3,0,0,26,26,0,0,8,8,0,0,9,9,0,0,6,6,0,0,1,1,0,0,8,8,0,0,14,14,0,0,2,2,0,0,2,2,0,0,4,4,0,0,pre-covid
Paul Stastny,F,COL,2011-12,6600000,25,64300000,0.102644,Standard (1-way),L,7,12,0,0,-8,79,0.06000000000000005,0,-0.010000000000000009,0,216,16,41,12,45,-1,27,-1,-3,163,23,89265,71921,2734,10531,190,138,3,34,21,13,0,5,40,39,0,0,59,50,7,1,24,18,0,5,25,16,0,6,10,3,0,4,789,606,29,105,635,498,59,23,49,40,1,4,32,18,0,11,-2,0,0,-2,pre-covid
Phil Kessel,F,TOR,2011-12,5400000,23,64300000,0.083981,Standard (1-way),R,10,13,0,0,-10,82,0.11000000000000004,0,0.12,0.010000000000000009,166,23,39,21,-29,-5,12,5,0,151,24,98671,78941,393,15111,295,219,1,41,37,23,0,6,12,8,0,3,39,31,0,3,82,63,0,14,32,17,0,4,12,5,0,2,9,3,0,5,19,10,2,2,21,20,0,0,45,28,0,11,12,10,0,-2,pre-covid
Reilly Smith,F,DAL,2011-12,900000,20,64300000,0.013997,Entry_Level,L,0,0,0,0,-3,3,-0.08000000000000002,-0.10000000000000003,-0.27,-0.32999999999999996,-6,-3,-2,0,-6,-3,-2,0,0,0,0,1512,1322,24,163,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,pre-covid
Riley Nash,F,CAR,2011-12,704166,22,64300000,0.010951,Entry_Level,R,0,0,0,0,1,5,-0.020000000000000018,-0.030000000000000027,0,-0.24,-1,2,-2,-1,-1,2,-1,0,0,1,1,3172,2613,0,476,2,2,0,0,0,0,0,0,1,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,2,24,19,0,0,1,1,0,0,1,1,0,0,-2,-2,0,0,pre-covid
Riley Sheahan,F,DET,2011-12,785000,19,64300000,0.012208,Entry_Level,L,0,0,0,0,0,1,-0.08000000000000002,-0.09000000000000002,0,0,3,0,0,0,3,0,0,0,0,0,0,363,363,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-4,-4,0,0,pre-covid
Robert Bortuzzo,D,PIT,2011-12,535000,22,64300000,0.00832,Entry_Level,R,0,0,0,0,1,6,-0.040000000000000036,-0.039999999999999925,-0.17,0,0,-1,-5,-3,4,1,-3,-1,-2,0,0,3924,3652,223,0,3,3,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,pre-covid
Roman Josi,D,NSH,2011-12,875000,21,64300000,0.013608,Entry_Level,L,1,3,0,0,-3,52,-0.02999999999999997,-0.04999999999999999,-0.03,0.030000000000000027,-87,4,6,-4,-96,0,2,-7,-2,35,6,57379,48870,3113,4198,64,50,1,11,5,4,0,1,33,30,3,0,16,13,0,0,16,11,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,87,0,4,11,6,0,3,-6,-8,2,0,pre-covid
Ryan Ellis,D,NSH,2011-12,840000,20,64300000,0.013064,Entry_Level,R,2,2,0,0,7,32,0.10000000000000003,0.04999999999999999,0.16999999999999998,0.07000000000000006,28,9,1,2,1,5,-4,-1,-1,29,5,28469,24406,160,3320,34,24,0,10,3,1,0,2,30,27,0,1,7,7,0,0,8,8,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,37,36,0,0,8,5,0,2,12,12,0,0,pre-covid
Ryan Getzlaf,F,ANA,2011-12,5325000,26,64300000,0.082815,Standard (1-way),R,4,19,0,1,-11,82,0.13999999999999996,0.06000000000000005,0.07,0.010000000000000009,264,16,0,16,30,-10,-14,2,-5,234,32,106269,79315,4743,16566,185,118,4,48,11,4,0,4,182,164,2,9,35,28,5,1,95,69,1,20,15,5,1,5,3,0,0,3,639,494,36,80,715,554,51,55,72,54,1,7,46,23,1,18,-14,-4,2,-8,pre-covid
Ryan Johansen,F,CBJ,2011-12,870000,18,64300000,0.01353,Entry_Level,R,3,1,0,0,-2,67,0.08000000000000007,0.020000000000000018,-0.16,0.04999999999999993,117,3,2,-2,6,0,-3,-1,-2,113,6,51196,44252,202,6176,99,72,0,25,9,6,0,3,68,65,0,3,20,19,0,1,11,9,0,2,6,4,0,2,2,1,0,1,97,85,1,11,118,97,1,0,24,23,0,0,12,11,0,1,-10,-10,0,-2,pre-covid
Ryan Kesler,F,VAN,2011-12,5000000,26,64300000,0.07776,Standard (1-way),R,8,12,1,1,10,77,0.08999999999999997,0.050000000000000044,0.009999999999999981,0.050000000000000044,181,37,24,16,63,8,3,0,-5,203,27,92824,64721,8728,14197,222,135,7,55,22,10,1,6,108,98,3,6,43,28,12,0,20,15,2,3,26,13,0,7,10,2,0,4,724,508,83,73,627,426,57,81,59,35,1,14,27,11,1,8,0,-16,10,-2,pre-covid
Ryan Reaves,F,STL,2011-12,525000,24,64300000,0.008165,Standard (1-way),R,0,0,0,0,0,60,0,0,-0.06,-0.12,25,0,4,-1,24,0,4,-1,0,1,0,23503,23107,51,115,32,32,0,0,3,3,0,0,171,171,0,0,11,11,0,0,3,3,0,0,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,7,7,0,0,1,1,0,0,-25,-23,0,0,pre-covid
Ryan Suter,D,NSH,2011-12,3500000,26,64300000,0.054432,Standard (1-way),L,4,24,1,1,12,79,0.04999999999999999,0.03999999999999998,0,0.030000000000000027,29,43,12,21,-23,6,-4,-5,-14,191,34,125635,92645,10617,16695,134,86,3,35,7,3,1,2,46,31,3,6,37,22,9,3,42,25,6,10,9,2,0,6,3,0,0,2,0,0,0,0,1,1,0,0,116,80,1,26,39,13,1,17,-19,-15,-4,2,pre-covid
Sam Gagner,F,EDM,2011-12,2275000,21,64300000,0.035381,Standard (1-way),R,6,6,0,0,5,75,0.11000000000000004,0.02999999999999997,0.1,0.030000000000000027,66,27,17,18,-39,8,-7,2,-1,103,19,77322,64334,186,10453,149,114,0,28,18,11,0,5,21,19,0,1,27,25,0,1,36,25,0,8,14,3,0,7,7,0,0,5,334,280,2,37,367,305,15,1,23,23,0,0,29,23,0,6,-18,-12,0,-6,pre-covid
Sean Couturier,F,PHI,2011-12,925000,18,64300000,0.014386,Entry_Level,L,0,1,2,0,20,77,-0.10000000000000003,-0.010000000000000009,-0.03,-0.020000000000000018,-51,-2,-5,-6,42,11,6,2,-19,19,3,65323,49880,11929,2080,116,96,15,3,13,10,2,0,82,77,1,3,48,32,16,0,26,23,3,0,14,9,1,2,3,2,0,0,378,299,50,14,426,331,8,31,33,21,0,3,14,13,0,1,16,10,0,2,pre-covid
Shea Weber,D,NSH,2011-12,7500000,25,64300000,0.116641,Standard (1-way),R,11,13,2,0,20,78,0.07,0.06,0.03,0.020000000000000018,75,56,19,25,34,15,8,-1,-10,182,37,122434,90898,10065,15861,230,142,6,64,19,5,1,8,177,155,11,4,51,36,4,7,46,30,4,8,11,2,0,4,7,0,0,3,0,0,0,0,0,0,0,0,140,115,3,15,30,15,0,11,-26,-24,-2,6,pre-covid
Sidney Crosby,F,PIT,2011-12,8700000,23,64300000,0.135303,Standard (1-way),L,2,12,0,0,12,22,0.17000000000000004,0.05999999999999994,0.31,0.10999999999999999,151,28,30,13,53,18,14,6,0,74,8,24383,18063,146,4782,75,43,1,22,8,5,0,2,11,10,0,0,10,9,0,1,15,6,0,9,13,5,0,5,3,1,0,1,227,158,2,47,226,161,21,5,7,7,0,0,29,19,0,7,-2,-2,0,0,pre-covid
Steven Kampfer,D,MIN,2011-12,635000,22,64300000,0.009876,Entry_Level,R,0,0,0,0,-1,23,-0.010000000000000009,-0.019999999999999962,-0.020000000000000004,-0.10999999999999999,-8,2,-6,-3,-12,-1,-6,-5,0,6,3,20535,17873,605,1078,20,18,0,1,2,2,0,0,19,17,0,1,3,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,1,0,3,3,0,0,-4,-4,0,0,pre-covid
Steven Stamkos,F,T.B,2011-12,7500000,21,64300000,0.116641,Standard (1-way),R,12,13,0,0,7,82,0.13000000000000006,0.02999999999999997,0.16,0.010000000000000009,152,38,0,4,-29,20,-11,-3,-1,159,19,108192,83403,2578,16994,303,199,3,68,60,41,0,10,109,102,0,2,42,37,1,2,45,34,0,8,30,15,1,7,15,6,0,5,558,466,16,50,669,550,49,17,37,31,2,3,37,22,0,10,16,6,0,4,pre-covid
Sven Baertschi,F,CGY,2011-12,925000,18,64300000,0.014386,Entry_Level,L,0,0,0,0,2,5,-0.010000000000000009,-0.07999999999999996,-0.13,-0.19000000000000006,-2,2,3,2,-2,2,2,2,0,0,0,3341,3117,15,173,10,10,0,0,3,3,0,0,5,5,0,0,3,3,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,pre-covid
Taylor Hall,F,EDM,2011-12,900000,19,64300000,0.013997,Entry_Level,L,13,8,0,0,-3,61,0.13999999999999996,0.06,0.08000000000000002,0.030000000000000027,139,27,8,8,19,4,-7,-2,-1,122,26,66680,53417,280,10444,207,145,1,48,27,13,0,11,44,38,0,5,35,28,0,4,62,44,0,15,22,10,0,10,12,2,0,8,23,19,0,2,34,33,0,0,34,31,0,0,26,18,0,8,24,28,0,-2,pre-covid
Torey Krug,D,BOS,2011-12,916667,20,64300000,0.014256,Entry_Level,L,0,0,0,0,0,2,0.07999999999999996,0.04999999999999999,-0.14,-0.07,-6,0,-2,-1,-4,0,-1,-1,0,-1,0,2055,1799,46,129,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,0,0,0,0,pre-covid
Travis Hamonic,D,NYI,2011-12,875000,20,64300000,0.013608,Entry_Level,R,1,5,0,0,6,73,-0.02999999999999997,0,-0.030000000000000013,-0.020000000000000018,-57,-4,17,7,18,1,10,4,-16,37,8,98231,80558,9501,4518,124,98,2,18,2,1,0,1,170,160,5,0,37,31,1,1,52,43,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157,122,1,16,22,16,0,5,-13,-8,-9,21,pre-covid
Trevor Lewis,F,L.A,2011-12,725000,24,64300000,0.011275,Standard (1-way),R,1,0,0,0,4,72,-0.09000000000000008,-0.030000000000000027,0.009999999999999995,0.05999999999999994,-44,-13,-9,-4,34,-2,-2,1,-10,8,0,57183,47684,7289,1048,103,87,7,4,3,3,0,0,117,112,3,1,25,17,6,0,20,13,5,1,7,6,1,0,1,1,0,0,87,77,6,3,112,92,5,5,25,21,0,2,4,4,0,0,11,11,0,0,pre-covid
Tyler Bozak,F,TOR,2011-12,1500000,25,64300000,0.023328,Standard (1-way),R,4,8,0,1,-7,73,0.06000000000000005,-0.020000000000000018,0.01999999999999999,0.010000000000000009,42,10,25,13,-75,-8,6,2,-5,117,18,82528,65348,2934,11071,109,81,1,20,18,12,0,3,117,104,2,5,40,29,7,2,26,24,0,2,22,15,0,4,11,7,0,2,631,456,24,98,567,423,71,15,34,30,0,2,29,17,1,7,0,0,-4,4,pre-covid
Tyler Ennis,F,BUF,2011-12,875000,21,64300000,0.013608,Entry_Level,L,2,2,0,0,11,48,0.040000000000000036,-0.010000000000000009,-0.15,-0.06999999999999995,-2,17,2,2,-48,16,-2,4,-1,42,2,46551,39654,109,5476,82,68,0,5,15,12,0,1,26,24,0,0,19,15,0,2,22,17,0,5,4,3,0,0,2,1,0,0,145,130,0,12,171,147,8,2,18,17,0,0,19,16,0,2,6,10,0,0,pre-covid
Tyler Myers,D,BUF,2011-12,875000,21,64300000,0.013608,Entry_Level,R,3,4,0,0,5,55,-0.030000000000000027,-0.03999999999999998,0.03,-0.020000000000000018,-119,4,-26,-6,-85,7,-8,1,-9,72,9,74217,57507,6377,7686,84,57,4,16,8,4,0,2,78,69,6,0,26,19,5,0,44,36,0,6,4,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,70,52,2,11,15,9,0,4,-20,-14,-2,-2,pre-covid
Tyler Seguin,F,BOS,2011-12,900000,19,64300000,0.013997,Entry_Level,R,5,10,0,0,37,81,0.14,0.06999999999999995,-0.03,0.020000000000000018,310,53,33,15,162,30,5,0,0,123,17,82324,68356,151,11449,242,201,0,30,29,22,0,5,26,23,0,3,30,27,0,0,42,31,0,8,22,11,0,8,5,0,0,4,46,34,0,8,60,49,2,1,17,14,0,0,38,28,0,8,12,6,0,4,pre-covid
Tyson Barrie,D,COL,2011-12,715000,19,64300000,0.01112,Entry_Level,R,0,0,0,0,-2,10,0.12999999999999995,0.07000000000000006,-0.15,-0.12,43,0,1,0,27,0,2,1,0,11,2,10588,9580,9,644,15,14,0,1,0,0,0,0,9,9,0,0,4,4,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,pre-covid
Victor Hedman,D,T.B,2011-12,900000,20,64300000,0.013997,Entry_Level,L,0,4,0,1,-9,61,-0.03999999999999998,0.010000000000000009,-0.020000000000000004,-0.040000000000000036,-123,-21,-10,-4,-9,-3,2,3,-17,30,3,84544,66887,10012,4050,82,68,4,5,5,4,0,0,96,82,10,0,33,24,4,2,35,27,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127,92,4,13,18,11,1,4,-20,-24,-9,9,pre-covid
Wayne Simmonds,F,PHI,2011-12,1750000,22,64300000,0.027216,Standard (1-way),R,12,7,0,0,-7,82,0.08999999999999997,-0.010000000000000009,-0.17,0.040000000000000036,255,32,77,24,1,2,21,4,0,225,26,78255,60705,245,15254,197,125,0,61,28,14,0,11,140,130,0,9,30,27,0,2,25,22,0,2,42,18,0,19,18,6,0,10,7,4,0,3,10,4,1,0,34,32,0,0,21,15,0,5,8,7,2,-1,pre-covid
Zac Dalpe,F,CAR,2011-12,704167,21,64300000,0.010951,Entry_Level,R,0,0,0,0,-3,16,0.009999999999999953,-0.02999999999999997,-0.35,-0.010000000000000009,-20,-2,2,2,-26,-3,1,1,0,4,1,9201,8234,26,879,20,18,0,2,1,1,0,0,16,16,0,0,5,4,0,0,3,3,0,0,2,1,0,1,1,1,0,0,5,4,0,1,6,6,0,0,4,4,0,0,2,2,0,0,-4,-4,0,0,pre-covid
Zac Rinaldo,F,PHI,2011-12,540000,21,64300000,0.008398,Entry_Level,L,0,0,0,0,-3,66,-0.06000000000000005,-0.050000000000000044,-0.1,-0.54,-14,-1,-2,-4,-13,-1,-1,-4,0,0,0,29621,29290,38,194,54,53,0,0,2,2,0,0,175,173,0,1,4,4,0,0,9,9,0,0,5,5,0,0,0,0,0,0,6,6,0,0,3,3,0,0,19,18,0,0,7,7,0,0,-37,-35,0,-2,pre-covid
Zach Bogosian,D,WPG,2011-12,2500000,20,64300000,0.03888,Standard (1-way),R,1,6,0,0,-3,65,-0.020000000000000018,-0.010000000000000009,-0.04000000000000001,0.06000000000000005,-9,-12,-9,-8,24,-1,9,0,-18,102,13,90933,67798,10760,9092,150,89,3,47,5,4,0,1,117,100,13,1,17,12,4,1,41,31,7,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,109,81,2,21,25,15,0,6,-48,-38,-6,0,pre-covid
Zach Parise,F,N.J,2011-12,6000000,26,64300000,0.093313,Standard (1-way),L,10,10,3,4,-13,82,0.07000000000000006,0.020000000000000018,0.07,-0.030000000000000027,201,18,44,14,63,2,20,6,-7,178,21,105707,76819,9311,15120,293,187,24,58,31,20,2,5,65,53,6,4,65,47,10,4,35,25,2,6,36,16,5,5,10,4,0,2,30,23,4,1,33,26,0,3,39,26,1,10,38,22,4,7,48,40,4,4,pre-covid
Zack Kassian,F,VAN,2011-12,870000,20,64300000,0.01353,Entry_Level,R,0,1,0,0,-1,44,0.020000000000000018,0,-0.03,-0.09999999999999998,-1,-1,-5,-2,-8,-1,-5,-2,0,9,0,29818,28213,7,1459,54,51,0,3,4,4,0,0,79,79,0,0,10,10,0,0,8,8,0,0,1,0,0,1,0,0,0,0,11,9,0,2,12,7,0,0,2,2,0,0,6,5,0,1,-4,-4,0,0,pre-covid
Zdeno Chara,D,BOS,2011-12,6916667,34,64300000,0.107569,Standard (1-way),L,8,10,0,1,32,79,0.04999999999999993,0.05999999999999994,-0.020000000000000018,0.020000000000000018,198,30,21,3,202,25,16,2,-15,126,20,118524,89543,11660,11856,224,144,9,54,12,4,0,8,166,128,24,5,28,17,6,2,68,49,8,5,8,1,0,4,4,0,0,4,0,0,0,0,1,1,0,0,87,67,3,7,40,24,1,9,-22,-22,-4,2,pre-covid
