player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Drew Doughty,D,L.A,2011-12,7000000,21,64300000,0.108865,Standard (1-way),R,4,15,0,1,9,77,0.040000000000000036,0,0.010000000000000009,-0.020000000000000018,196,14,17,12,126,-2,2,1,-8,158,17,115035,84009,10333,15656,168,102,1,41,10,6,0,3,124,96,19,3,26,19,3,1,65,40,8,13,7,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,70,50,2,10,26,13,0,6,-14,-14,6,-2,pre-covid
Duncan Keith,D,CHI,2011-12,5538462,27,64300000,0.086135,Standard (1-way),L,1,12,0,2,16,74,0,-0.010000000000000009,0.05,0.010000000000000009,68,15,36,16,52,1,15,0,-14,159,18,119412,91636,9700,13596,162,114,3,42,4,3,0,1,45,37,4,1,48,35,7,3,50,41,2,6,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,121,89,4,19,36,19,2,10,-12,-16,2,2,pre-covid
Dustin Brown,F,L.A,2011-12,3175000,26,64300000,0.049378,Standard (1-way),R,10,10,3,5,34,82,0.08999999999999997,0.029999999999999916,0.05,0.020000000000000018,286,40,44,21,132,14,15,2,-9,173,23,99231,71430,8214,14688,214,143,9,37,22,9,1,8,293,231,26,28,39,26,10,2,53,33,7,8,31,12,2,8,11,1,0,6,17,12,0,3,22,14,4,3,32,19,0,10,32,22,2,3,68,50,8,6,pre-covid
Erik Gudbranson,D,FLA,2011-12,900000,19,64300000,0.013997,Entry_Level,R,0,1,0,0,-21,72,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-0.06000000000000005,-34,-22,-18,-6,-21,-15,-8,-1,-4,17,1,61335,57366,1300,2144,76,68,0,7,2,2,0,0,154,143,3,2,3,3,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,69,1,1,6,5,0,1,-12,-12,-4,-2,pre-covid
Erik Johnson,D,COL,2011-12,2600000,23,64300000,0.040435,Standard (1-way),R,1,11,0,0,-7,73,0.050000000000000044,0.030000000000000027,-0.03,0.010000000000000009,145,-1,22,2,46,-2,10,-1,-9,138,15,91284,71469,6606,9799,155,100,2,34,4,3,0,1,123,107,12,1,35,27,1,4,44,33,2,6,5,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,94,79,0,10,22,9,0,11,8,8,0,-2,pre-covid
Erik Karlsson,D,OTT,2011-12,875000,21,64300000,0.013608,Entry_Level,R,4,25,0,0,16,81,0.13999999999999996,0.040000000000000036,0.14,-0.010000000000000009,322,50,45,30,102,16,-2,1,-5,179,28,123040,98062,2536,17454,261,186,2,51,19,16,0,3,60,55,2,2,67,59,1,1,84,63,3,13,8,1,0,4,3,0,0,3,0,0,0,0,1,0,0,0,65,55,3,0,59,30,0,19,-6,-10,6,-4,pre-covid
Evander Kane,F,WPG,2011-12,900000,19,64300000,0.013997,Entry_Level,L,6,3,0,0,11,74,0.10999999999999993,0.030000000000000027,-0.09,-0.020000000000000018,209,34,36,22,86,13,17,9,-1,108,18,77776,65422,192,9098,287,240,0,34,30,21,0,5,173,159,1,9,35,29,0,2,18,12,0,4,33,21,0,5,13,6,0,3,15,8,0,2,29,18,2,0,31,27,0,1,27,22,0,2,10,16,-2,-6,pre-covid
Evgeni Malkin,F,PIT,2011-12,8700000,24,64300000,0.135303,Standard (1-way),L,13,25,0,0,17,75,0.16000000000000003,0.039999999999999925,0.32999999999999996,0.030000000000000027,539,66,53,29,208,26,4,3,0,261,34,94507,70805,184,18303,339,199,0,96,50,31,0,11,29,25,0,0,52,48,0,2,73,47,0,20,39,14,0,14,21,7,0,9,575,402,2,125,635,476,31,3,41,35,0,0,59,35,0,19,24,30,0,-16,pre-covid
Frans Nielsen,F,NYI,2011-12,525000,27,64300000,0.008165,Standard (1-way),L,5,10,0,0,-3,82,0.040000000000000036,0.020000000000000018,0.04000000000000001,0.040000000000000036,55,6,-4,11,36,3,-7,3,-14,134,28,85867,62023,9411,11896,133,96,8,24,17,12,0,5,29,27,1,1,58,41,9,4,33,25,2,6,7,4,0,3,6,3,0,3,523,391,75,22,633,476,9,99,66,47,0,14,30,19,0,10,14,6,2,6,pre-covid
Gabriel Dumont,F,MTL,2011-12,571667,20,64300000,0.008891,Entry_Level,R,0,0,0,0,-1,3,0.09999999999999998,0.18000000000000005,0,0,10,-1,-1,-1,10,-1,-1,-1,0,0,0,1541,1437,104,0,1,1,0,0,0,0,0,0,7,6,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,15,0,0,1,0,0,0,0,0,0,0,2,2,0,0,pre-covid
