player,team,position,season,games_played,cap_hit,projected_cap_hit,projected_percent_cap_hit
Brad Marchand,BOS,F,2021-22,70,6125000,7213476.89,0.08850891888141632
Phil Kessel,PIT,F,2017-18,82,8000000,7211654.26,0.09615539014339447
Jakub Voracek,PHI,F,2018-19,78,8250000,7177154.28,0.09027867019176483
Nathan MacKinnon,COL,F,2020-21,48,6300000,7167604.89,0.08794607222080231
Erik Karlsson,OTT,D,2014-15,82,6500000,7164139.06,0.10382810235023499
Thomas Chabot,OTT,D,2020-21,49,8000000,7161242.41,0.08786800503730774
Jeff Skinner,BUF,F,2021-22,80,9000000,7159836.08,0.08785074949264526
Ryan Suter,MIN,D,2016-17,82,7538462,7146556.65,0.09789803624153137
Sebastian Aho,CAR,F,2021-22,79,8460250,7131135.11,0.08749859035015106
Jamie Benn,DAL,F,2019-20,69,9500000,7123646.24,0.0874067023396492
Shea Weber,MTL,D,2017-18,26,7857143,7119470.65,0.09492627531290054
Shea Weber,NSH,D,2015-16,78,7857143,7116781.68,0.09967481344938278
Aaron Ekblad,FLA,D,2021-22,61,7500000,7111506.65,0.0872577503323555
Joe Pavelski,DAL,F,2020-21,56,7000000,7110422.76,0.08724445104598999
Mats Zuccarello,MIN,F,2021-22,70,6000000,7100499.53,0.08712269365787506
Brad Marchand,BOS,F,2019-20,70,6125000,7073294.76,0.08678889274597168
Phil Kessel,PIT,F,2018-19,82,8000000,7068539.76,0.08891244977712631
Ryan Kesler,ANA,F,2016-17,82,6875000,7061595.22,0.0967341810464859
Patrice Bergeron,BOS,F,2018-19,65,6875000,7058504.65,0.08878622204065323
Victor Hedman,T.B,D,2019-20,66,7875000,7057527.62,0.08659543097019196
David Pastrnak,BOS,F,2021-22,72,6666667,7054393.75,0.08655697852373123
Quinn Hughes,VAN,D,2021-22,76,7850000,7043193.53,0.08641955256462097
Johnny Gaudreau,CGY,F,2021-22,82,6750000,7038371.58,0.0863603875041008
Drew Doughty,L.A,D,2015-16,82,7000000,7038144.06,0.09857344627380371
Jamie Benn,DAL,F,2020-21,52,9500000,7037118.27,0.08634500950574875
Erik Karlsson,S.J,D,2018-19,53,6500000,7026569.66,0.08838452398777008
Jonathan Toews,CHI,F,2015-16,80,10500000,7026536.45,0.09841087460517883
John Carlson,WSH,D,2018-19,80,8000000,7023864.53,0.08835049718618393
Brad Marchand,BOS,F,2020-21,53,6125000,7023426.63,0.08617701381444931
Shea Weber,MTL,D,2019-20,65,7857143,7011693.27,0.08603304624557495
Mark Scheifele,WPG,F,2021-22,67,6125000,7008956.52,0.08599946647882462
Evgeny Kuznetsov,WSH,F,2018-19,76,7800000,7005073.73,0.08811413496732712
Dustin Byfuglien,WPG,D,2017-18,69,7600000,7004514.52,0.09339352697134018
Jamie Benn,DAL,F,2021-22,82,9500000,7000170.62,0.08589166402816772
Roman Josi,NSH,D,2020-21,48,9059000,6995514.44,0.08583453297615051
David Pastrnak,BOS,F,2019-20,70,6666667,6988695.33,0.08575086295604706
Thomas Chabot,OTT,D,2021-22,59,8000000,6985508.63,0.0857117623090744
P.K. Subban,NSH,D,2017-18,82,9000000,6981872.77,0.09309163689613342
Mark Scheifele,WPG,F,2020-21,56,6125000,6981724.42,0.08566533029079437
Erik Karlsson,OTT,D,2015-16,82,6500000,6979297.38,0.097749263048172
Ryan Getzlaf,ANA,F,2014-15,77,8250000,6978044.63,0.10113108158111572
Jakub Voracek,PHI,F,2017-18,82,8250000,6968717.09,0.09291622787714005
Alex Pietrangelo,STL,D,2019-20,70,6500000,6967713.98,0.08549342304468155
Patrice Bergeron,BOS,F,2017-18,64,6875000,6958533.08,0.09278044104576111
Alex DeBrincat,CHI,F,2021-22,82,6400000,6952030.03,0.0853009819984436
Nikita Kucherov,T.B,F,2018-19,82,4766667,6950571.3,0.08742856979370117
Drew Doughty,L.A,D,2017-18,82,7000000,6948142.87,0.0926419049501419
Evgeny Kuznetsov,WSH,F,2019-20,63,7800000,6943664.33,0.08519833534955978
Nikita Kucherov,T.B,F,2017-18,80,4766667,6941307.71,0.09255076944828033
Jack Eichel,BUF,F,2020-21,21,10000000,6940837.1,0.0851636454463005
Shea Weber,NSH,D,2014-15,78,7857143,6940157.22,0.10058198869228363
Joe Thornton,S.J,F,2015-16,82,6750000,6938952.13,0.0971842035651207
David Krejci,BOS,F,2020-21,51,7250000,6926487.23,0.084987573325634
Ryan Suter,MIN,D,2013-14,82,7538462,6921952.29,0.10765089094638824
Claude Giroux,PHI,F,2014-15,81,8275000,6920141.12,0.1002919003367424
Johnny Gaudreau,CGY,F,2018-19,82,6750000,6915062.83,0.08698192238807678
Kyle Connor,WPG,F,2019-20,71,7142857,6907603.22,0.08475586771965027
Boone Jenner,CBJ,F,2021-22,59,3750000,6895693.16,0.0846097320318222
Alex DeBrincat,CHI,F,2020-21,52,6400000,6887282.52,0.08450653403997421
Aleksander Barkov,FLA,F,2021-22,67,5900000,6883656.8,0.08446204662322998
Kris Letang,PIT,D,2015-16,71,7250000,6873875,0.09627275913953781
Roman Josi,NSH,D,2019-20,69,4000000,6873862.3,0.0843418687582016
Mark Giordano,CGY,D,2018-19,78,6750000,6870408.33,0.08642023056745529
Patrice Bergeron,BOS,F,2016-17,79,6875000,6866319.9,0.09405917674303055
Alex Ovechkin,WSH,F,2011-12,78,9538462,6849596.08,0.10652559995651245
Nazem Kadri,COL,F,2021-22,71,4500000,6847403.81,0.08401722460985184
Ryan O'Reilly,STL,F,2021-22,78,7500000,6845924,0.08399906754493713
Jamie Benn,DAL,F,2018-19,78,9500000,6845354.33,0.08610508590936661
Victor Hedman,T.B,D,2017-18,77,7875000,6845253.33,0.09127004444599152
Jack Eichel,VGK,F,2021-22,34,10000000,6837433.82,0.08389489352703094
Erik Karlsson,OTT,D,2017-18,71,6500000,6834023.82,0.09112031757831573
Victor Hedman,T.B,D,2018-19,70,7875000,6825102.28,0.08585034310817719
Bo Horvat,VAN,F,2019-20,69,5500000,6825078.67,0.08374329656362534
Jason Spezza,DAL,F,2015-16,75,7500000,6823426.55,0.09556619822978973
Jakub Voracek,CBJ,F,2021-22,79,8250000,6820908.87,0.08369213342666626
Kris Letang,PIT,D,2016-17,41,7250000,6804798.06,0.0932164117693901
Vladimir Tarasenko,STL,F,2018-19,76,7500000,6804371.04,0.08558957278728485
Alex Pietrangelo,VGK,D,2020-21,41,8800000,6801593.74,0.08345513790845871
Jason Spezza,OTT,F,2011-12,80,7000000,6791674.32,0.10562479496002197
Joe Pavelski,S.J,F,2017-18,82,6000000,6790057.38,0.09053409844636917
Sidney Crosby,PIT,F,2012-13,36,8700000,6788805.57,0.11314675956964493
Evgeni Malkin,PIT,F,2014-15,69,9500000,6786465.88,0.09835457801818848
Duncan Keith,CHI,D,2016-17,80,5538462,6786048.46,0.09295956790447235
Mark Scheifele,WPG,F,2019-20,71,6125000,6777027.35,0.08315370976924896
Keith Yandle,FLA,D,2018-19,82,6350000,6776239.34,0.08523571491241455
Zach Parise,MIN,F,2018-19,74,7538462,6770665.59,0.0851656049489975
Keith Yandle,FLA,D,2019-20,68,6350000,6761574.15,0.08296409994363785
Drew Doughty,L.A,D,2014-15,82,7000000,6755235.94,0.09790197014808655
Jared Spurgeon,MIN,D,2021-22,65,7575000,6747585.56,0.08279246091842651
Kris Letang,PIT,D,2017-18,79,7250000,6746324.52,0.08995099365711212
Joe Thornton,S.J,F,2011-12,82,7000000,6744836.37,0.10489636659622192
Aleksander Barkov,FLA,F,2018-19,82,5900000,6741553.01,0.08479940891265869
Shea Weber,MTL,D,2020-21,48,7857143,6736875.98,0.08266105502843857
Mikko Rantanen,COL,F,2020-21,52,9250000,6725576.79,0.08252241462469101
Anze Kopitar,L.A,F,2015-16,81,6800000,6723909.06,0.0941723957657814
P.K. Subban,N.J,D,2020-21,44,9000000,6721318.95,0.08247017115354538
Steven Stamkos,T.B,F,2011-12,82,7500000,6720825.75,0.1045229509472847
Patrice Bergeron,BOS,F,2015-16,80,6875000,6705065.56,0.09390848129987717
Patrik Laine,WPG,F,2019-20,68,6750000,6698954.34,0.08219575881958008
